model,horizon_minutes,evaluation_split,n_rows,mae,rmse,r2
random_forest,30,test,29001,14.006615172112104,19.818538568380625,0.8930274590323942
xgboost,30,test,29001,14.226703978165245,20.12642949866827,0.8896778969338881
ridge,30,test,29001,14.344673250232157,20.18026511584787,0.8890869126378577
persistence,30,test,29001,16.81973035412572,23.373482381360535,0.8512092599677351
random_forest,30,validation,24854,15.370768003031417,22.43563533336449,0.8578122479487787
ridge,30,validation,24854,15.548815199100451,22.653828578600912,0.8550331630335851
xgboost,30,validation,24854,15.586800068681619,22.678499501297377,0.854717241769082
persistence,30,validation,24854,17.978152410074838,25.77734652964886,0.8123010413675779
random_forest,60,test,28600,24.73487804786451,33.49548807425683,0.6929299935959872
xgboost,60,test,28600,24.79233463620806,33.55281688353091,0.6918779699493686
ridge,60,test,28600,25.38499302991736,33.95745353668355,0.6844014440056461
persistence,60,test,28600,28.213216783216783,38.33988593027962,0.5976848287786488
xgboost,60,validation,24470,26.467881886053924,36.80507316425492,0.6182823508786006
random_forest,60,validation,24470,26.49786038640351,36.95605988192872,0.6151440600111138
ridge,60,validation,24470,26.836831808607,37.06317254781221,0.6129099102828055
persistence,60,validation,24470,29.877768696362892,41.87544972585419,0.5058647477436291
