model,feature_set,horizon_minutes,target,evaluation_split,n_rows,mae,rmse,r2
persistence,cgm_only,30,target_glucose_30min,test,29001,16.81973035412572,23.373482381360535,0.8512092599677351
random_forest,cgm_only,30,target_glucose_30min,test,29001,14.006615172112102,19.818538568380625,0.8930274590323942
ridge,cgm_only,30,target_glucose_30min,test,29001,14.344673250232157,20.18026511584787,0.8890869126378577
xgboost,cgm_only,30,target_glucose_30min,test,29001,14.226703978165245,20.12642949866827,0.8896778969338881
persistence,cgm_plus_context,30,target_glucose_30min,test,29001,16.81973035412572,23.373482381360535,0.8512092599677351
random_forest,cgm_plus_context,30,target_glucose_30min,test,29001,13.693318737930232,19.406728627527162,0.8974268422746438
ridge,cgm_plus_context,30,target_glucose_30min,test,29001,13.919811438540075,19.618496453095627,0.8951760549879302
xgboost,cgm_plus_context,30,target_glucose_30min,test,29001,13.855675720707318,19.652818490001916,0.8948089607592254
persistence,cgm_only,30,target_glucose_30min,validation,24854,17.978152410074838,25.77734652964886,0.8123010413675779
random_forest,cgm_only,30,target_glucose_30min,validation,24854,15.370768003031417,22.43563533336449,0.8578122479487787
ridge,cgm_only,30,target_glucose_30min,validation,24854,15.548815199100451,22.653828578600912,0.8550331630335851
xgboost,cgm_only,30,target_glucose_30min,validation,24854,15.586800068681619,22.678499501297377,0.854717241769082
persistence,cgm_plus_context,30,target_glucose_30min,validation,24854,17.978152410074838,25.77734652964886,0.8123010413675779
random_forest,cgm_plus_context,30,target_glucose_30min,validation,24854,15.098348096222644,22.200326011090702,0.8607791927681283
ridge,cgm_plus_context,30,target_glucose_30min,validation,24854,15.333268999261021,22.39479793162495,0.8583293978928078
xgboost,cgm_plus_context,30,target_glucose_30min,validation,24854,15.179911970084984,22.217440891772085,0.8605644512397542
persistence,cgm_only,60,target_glucose_60min,test,28600,28.213216783216783,38.33988593027962,0.5976848287786488
random_forest,cgm_only,60,target_glucose_60min,test,28600,24.734878047864512,33.49548807425683,0.6929299935959872
ridge,cgm_only,60,target_glucose_60min,test,28600,25.38499302991736,33.95745353668355,0.6844014440056461
xgboost,cgm_only,60,target_glucose_60min,test,28600,24.79233463620806,33.55281688353091,0.6918779699493686
persistence,cgm_plus_context,60,target_glucose_60min,test,28600,28.213216783216783,38.33988593027962,0.5976848287786488
random_forest,cgm_plus_context,60,target_glucose_60min,test,28600,23.93638831416638,32.50645863337013,0.7107961339711137
ridge,cgm_plus_context,60,target_glucose_60min,test,28600,24.56861377024825,32.928078251362734,0.7032453399955276
xgboost,cgm_plus_context,60,target_glucose_60min,test,28600,23.862509468985603,32.30955955624162,0.714289071396596
persistence,cgm_only,60,target_glucose_60min,validation,24470,29.877768696362892,41.87544972585419,0.5058647477436291
random_forest,cgm_only,60,target_glucose_60min,validation,24470,26.49786038640351,36.95605988192872,0.6151440600111138
ridge,cgm_only,60,target_glucose_60min,validation,24470,26.836831808607,37.06317254781221,0.6129099102828055
xgboost,cgm_only,60,target_glucose_60min,validation,24470,26.467881886053924,36.80507316425492,0.6182823508786006
persistence,cgm_plus_context,60,target_glucose_60min,validation,24470,29.877768696362892,41.87544972585419,0.5058647477436291
random_forest,cgm_plus_context,60,target_glucose_60min,validation,24470,25.709239325581702,35.84663031011604,0.6379041531566526
ridge,cgm_plus_context,60,target_glucose_60min,validation,24470,26.432696085528523,36.581274039656535,0.6229104273293135
xgboost,cgm_plus_context,60,target_glucose_60min,validation,24470,25.535876935795955,35.55157553666318,0.6438404664545381
