horizon_minutes,target,evaluation_split,uncertainty_bin,n,mean_uncertainty,minimum_uncertainty,maximum_uncertainty,mae,median_absolute_error,rmse
30,target_glucose_30min,test,high,5800,2.1224484,1.7612991,2.595832,15.564175751784752,11.963432312011719,20.981150175486736
30,target_glucose_30min,test,low,5800,1.160467,0.99581975,1.3282923,10.724098510742188,7.8577728271484375,14.860488034154892
30,target_glucose_30min,test,medium,5800,1.5290987,1.3284284,1.7612517,12.863580574167186,9.435298919677734,17.91049016137099
30,target_glucose_30min,test,very_high,5800,4.0866494,2.5958877,26.206614,20.79720603219394,16.340282440185547,27.789090097973695
30,target_glucose_30min,test,very_low,5801,0.7947497,0.2733556,0.99580634,9.089912654572244,6.5358123779296875,12.802686231224689
30,target_glucose_30min,validation,high,4971,2.144803,1.7893256,2.604519,17.08344021929363,12.93939208984375,23.2647085219879
30,target_glucose_30min,validation,low,4971,1.1772473,1.013902,1.3465817,11.80098099018865,8.15655517578125,17.20057122045614
30,target_glucose_30min,validation,medium,4970,1.5534569,1.3466401,1.7893031,13.959465047579176,10.115074157714844,19.741791548367317
30,target_glucose_30min,validation,very_high,4971,4.158115,2.6047761,26.520378,22.886986129505967,17.318740844726562,31.470264886460544
30,target_glucose_30min,validation,very_low,4971,0.81258523,0.2428127,1.0135969,9.997648581775518,6.925193786621094,15.364621332258922
60,target_glucose_60min,test,high,5720,3.35636,2.7663102,4.1167445,26.00086610967463,20.4052734375,34.47633938410758
60,target_glucose_60min,test,low,5720,1.7832217,1.5154883,2.0605652,19.66743852175199,14.820976257324219,26.751446639022497
60,target_glucose_60min,test,medium,5720,2.3870733,2.0606701,2.7662568,22.305680603080695,17.036697387695312,29.995505059420424
60,target_glucose_60min,test,very_high,5720,6.3274994,4.1171737,24.157393,33.125065647472034,26.902442932128906,42.617314650952736
60,target_glucose_60min,test,very_low,5720,1.1993641,0.37931195,1.515488,17.689510272099422,13.568931579589844,23.760117130281298
60,target_glucose_60min,validation,high,4894,3.2687073,2.7521439,3.9358041,27.580683515273556,21.98333740234375,35.96725710997407
60,target_glucose_60min,validation,low,4894,1.8032043,1.5409508,2.072003,20.760469183319678,15.80377197265625,28.692562866666957
60,target_glucose_60min,validation,medium,4894,2.383211,2.0722744,2.752137,24.31922093614735,18.73487091064453,32.71268134107848
60,target_glucose_60min,validation,very_high,4894,5.92805,3.936262,22.873552,36.12833297364703,28.227500915527344,48.511509340573866
60,target_glucose_60min,validation,very_low,4894,1.2274425,0.4657182,1.5408169,18.88088894319086,14.083274841308594,27.67326821736363
