horizon_minutes,target,evaluation_split,uncertainty_bin,n,mean_uncertainty,minimum_uncertainty,maximum_uncertainty,mae,median_absolute_error,rmse
30,target_glucose_30min,test,high,5800,1.8862925,1.6147403,2.235085,15.526344864943932,11.459911346435547,21.13141296132344
30,target_glucose_30min,test,low,5800,1.1197792,0.9777857,1.2663774,11.596973254762847,8.393768310546875,16.142620271875177
30,target_glucose_30min,test,medium,5800,1.4331708,1.2663838,1.6147398,13.228426872121876,9.736618041992188,18.21772393614045
30,target_glucose_30min,test,very_high,5800,3.4839628,2.2351475,32.1687,20.597141746652536,15.378902435302734,27.961379804150308
30,target_glucose_30min,test,very_low,5801,0.7885299,0.25825617,0.97771615,10.21503293951962,7.3315887451171875,14.378509384038072
30,target_glucose_30min,validation,high,4971,1.941798,1.6604303,2.3187914,16.7994337770642,12.193939208984375,23.601198473978773
30,target_glucose_30min,validation,low,4971,1.1540085,1.0036871,1.3069787,12.421042445199491,8.712326049804688,17.81353568258941
30,target_glucose_30min,validation,medium,4970,1.4762977,1.3070583,1.6604272,14.163647294380295,10.480655670166016,19.446174128895564
30,target_glucose_30min,validation,very_high,4971,4.0450196,2.3189933,32.87227,23.67254454498199,17.460861206054688,32.70691695608065
30,target_glucose_30min,validation,very_low,4971,0.81165385,0.2891805,1.0036467,10.92868311960101,7.7418670654296875,15.759208033000167
60,target_glucose_60min,test,high,5720,2.7189662,2.2981114,3.2836444,26.324121924713776,20.574901580810547,34.936587771776054
60,target_glucose_60min,test,low,5720,1.5682089,1.3673335,1.7770948,21.352444579384542,15.934944152832031,29.126543841529852
60,target_glucose_60min,test,medium,5720,2.0190005,1.7770981,2.2980132,23.534552590163436,18.19919204711914,31.433045946626265
60,target_glucose_60min,test,very_high,5720,5.1428905,3.283846,22.580288,32.89726452860799,25.84185028076172,42.94203635666112
60,target_glucose_60min,test,very_low,5720,1.1014849,0.33919948,1.367304,19.86975201693448,15.258522033691406,26.85026770356725
60,target_glucose_60min,validation,high,4894,2.830491,2.3797908,3.428999,27.756029145397065,22.17245864868164,36.55670868145914
60,target_glucose_60min,validation,low,4894,1.6166717,1.4059448,1.8310443,22.113279059705903,16.36328125,30.322102838901024
60,target_glucose_60min,validation,medium,4894,2.08713,1.8311018,2.378786,24.569232187711517,18.34233856201172,33.87075149051151
60,target_glucose_60min,validation,very_high,4894,5.7585998,3.4294791,35.41103,37.65799130251518,28.991226196289062,50.58697018978517
60,target_glucose_60min,validation,very_low,4894,1.1350371,0.31084237,1.4057958,20.27820887719557,15.19015121459961,28.410437152766875
